RAW Data export file (tab separated)


Client:	Test,Data
Session:	Testdata
Date:	22-01-2016
Time:	11:07:59
Duration:	124	Seconds.
Output rate:	32	Samples/sec.

Samples	32 SPS	
TIME	Sensor-13:SC/GSR	Events	


689	16.652		
690	16.646		
691	16.653		
692	16.649		
693	16.656		
694	16.651		
695	16.649		
696	16.656		
697	16.650		
698	16.658		
699	16.655		
700	16.658		
701	16.656		
702	16.657		
703	16.658		
704	16.653		
705	16.656		
706	16.649		
707	16.654		
708	16.647	79	
709	16.650		
710	16.646		
711	16.644		
712	16.647		
713	16.636		
714	16.640		
715	16.632		
716	16.636		
717	16.626		
718	16.625		
719	16.622		
720	16.613		
721	16.616		
722	16.605		
723	16.606		
724	16.595		
725	16.596		
726	16.589		
727	16.582		
728	16.583		
729	16.569		
730	16.573		
731	16.563		
732	16.562		
733	16.552		
734	16.550		
735	16.546		
736	16.538	80	
737	16.542		
738	16.528		
739	16.532		
740	16.523		
741	16.522		
742	16.517		
743	16.510		
744	16.513		
745	16.505		
746	16.510		
747	16.504		
748	16.505		
749	16.500		
750	16.503		
751	16.503		
752	16.497		
753	16.503		
754	16.498		
755	16.503		
756	16.499		
757	16.502		
758	16.500	81	
759	16.498		
760	16.505		
761	16.496		
762	16.502		
763	16.496		
764	16.502		
765	16.495		
766	16.497		
767	16.497		
768	16.489		
769	16.498		
770	16.486		
771	16.493		
772	16.486		
773	16.487		
774	16.486		
775	16.484		
776	16.486		
777	16.474		
778	16.483		
779	16.474		
780	16.476		
781	16.470		
782	16.470		
783	16.471		
784	16.464		
785	16.469	82	
786	16.457		
787	16.460		
788	16.454		
789	16.456		
790	16.449		
791	16.443		
792	16.449		
793	16.440		
794	16.444		
795	16.433		
796	16.436		
797	16.428		
798	16.429		
799	16.429		
800	16.420		
801	16.427		
802	16.420		
803	16.422		
804	16.418		
805	16.423		
806	16.420		
807	16.418		
808	16.428	83	
809	16.422		
810	16.430		
811	16.430		
812	16.437		
813	16.436		
814	16.440		
815	16.445		
816	16.445		
817	16.457		
818	16.451		
819	16.461		
820	16.458		
821	16.466		
822	16.469		
823	16.468		
824	16.477		
825	16.468		
826	16.479		
827	16.477		
828	16.482		
829	16.476		
830	16.480		
831	16.482		
832	16.474		
833	16.482		
834	16.474		
835	16.480		
836	16.474		
837	16.479		
838	16.474		
839	16.469		
840	16.473		
841	16.466		
842	16.470		
843	16.462		
844	16.465		
845	16.458	84	
846	16.459		
847	16.459		
848	16.445		
849	16.451		
850	16.444		
851	16.446		
852	16.440		
853	16.437		
854	16.433		
855	16.429		
856	16.432		
857	16.421		
858	16.424		
859	16.417		
860	16.419		
861	16.411		
862	16.411		
863	16.408		
864	16.400		
865	16.405		
866	16.392		
867	16.393		
868	16.384		
869	16.387		
870	16.384		
871	16.376		
872	16.381		
873	16.367		
874	16.372		
875	16.364		
876	16.366		
877	16.357		
878	16.357		
879	16.358		
880	16.346		
881	16.349		
882	16.341		
883	16.344		
884	16.335		
885	16.337		
886	16.330		
887	16.325		
888	16.328		
889	16.316		
890	16.321		
891	16.311		
892	16.314		
893	16.305		
894	16.306		
895	16.308		
896	16.294		
897	16.298		
898	16.291		
899	16.293		
900	16.287		
901	16.288		
902	16.283		
903	16.280		
904	16.288		
905	16.279		
906	16.284		
907	16.279	85	
908	16.288		
909	16.286		
910	16.292		
911	16.300		
912	16.301		
913	16.316		
914	16.316		
915	16.330		
916	16.338		
917	16.354		
918	16.364		
919	16.376		
920	16.394		
921	16.398		
922	16.422		
923	16.427		
924	16.448		
925	16.457		
926	16.474		
927	16.487		
928	16.493		
929	16.514		
930	16.517		
931	16.536		
932	16.537		
933	16.556		
934	16.563		
935	16.568		
936	16.582		
937	16.584		
938	16.595		
939	16.596		
940	16.607		
941	16.607		
942	16.614	86	
943	16.623		
944	16.616		
945	16.626		
946	16.624		
947	16.631		
948	16.626		
949	16.631		
950	16.630		
951	16.626		
952	16.634		
953	16.622		
954	16.628		
955	16.621		
956	16.625		
957	16.618		
958	16.614		
959	16.615		
960	16.605		
961	16.609		
962	16.598		
963	16.598		
964	16.587		
965	16.587		
966	16.583		
967	16.573		
968	16.574		
969	16.559		
970	16.565		
971	16.552		
972	16.551		
973	16.542		
974	16.537		
975	16.535		
976	16.523		
977	16.526		
978	16.515		
979	16.511		
980	16.502		
981	16.502		
982	16.495		
983	16.484		
984	16.488		
985	16.475		
986	16.474		
987	16.464		
988	16.464	87	
989	16.453		
990	16.449		
991	16.449		
992	16.437		
993	16.439		
994	16.426		
995	16.429		
996	16.417		
997	16.417		
998	16.410		
999	16.402		
1000	16.407		
1001	16.394		
1002	16.396		
1003	16.386		
1004	16.385		
1005	16.379		
1006	16.373		
1007	16.374		
1008	16.361		
1009	16.365		
1010	16.354		
1011	16.356		
1012	16.348		
1013	16.346		
1014	16.347		
1015	16.334		
1016	16.339		
1017	16.329		
1018	16.331		
1019	16.322		
1020	16.323		
1021	16.317		
1022	16.311		
1023	16.314	88	
1024	16.301		
1025	16.304		
1026	16.296		
1027	16.299		
1028	16.293		
1029	16.290		
1030	16.287		
1031	16.281		
1032	16.285		
1033	16.277		
1034	16.279		
1035	16.272		
1036	16.274		
1037	16.270		
1038	16.264		
1039	16.270		
1040	16.258		
1041	16.265		
1042	16.254		
1043	16.257		
1044	16.251		
1045	16.251		
1046	16.251		
1047	16.244		
1048	16.248		
1049	16.238		
1050	16.241		
1051	16.235		
1052	16.237		
1053	16.232		
1054	16.229		
1055	16.232		
1056	16.225		
1057	16.230		
1058	16.221	89	
1059	16.227		
1060	16.223		
1061	16.225		
1062	16.229		
1063	16.225		
1064	16.235		
1065	16.233		
1066	16.245		
1067	16.247		
1068	16.259		
1069	16.266		
1070	16.275		
1071	16.292		
1072	16.293		
1073	16.316		
1074	16.326		
1075	16.346		
1076	16.361		
1077	16.377		
1078	16.397		
1079	16.409		
1080	16.435		
1081	16.446		
1082	16.467		
1083	16.484		
1084	16.500		
1085	16.519		
1086	16.526		
1087	16.551		
1088	16.554	90	
1089	16.577		
1090	16.582		
1091	16.602		
1092	16.607		
1093	16.618		
1094	16.630		
1095	16.630		
1096	16.646		
1097	16.647		
1098	16.659		
1099	16.661		
1100	16.666		
1101	16.671		
1102	16.670		
1103	16.683		
1104	16.677		
1105	16.685		
1106	16.679		
1107	16.685		
1108	16.683		
1109	16.684		
1110	16.690		
1111	16.677		
1112	16.682		
1113	16.673		
1114	16.674		
1115	16.667		
1116	16.664		
1117	16.661		
1118	16.653		
1119	16.654		
1120	16.641		
1121	16.641		
1122	16.628		
1123	16.629		
1124	16.617		
1125	16.611		
1126	16.609		
1127	16.595		
1128	16.595		
1129	16.580		
1130	16.580		
1131	16.567		
1132	16.563		
1133	16.557	91	
1134	16.544		
1135	16.544		
1136	16.530		
1137	16.528		
1138	16.518		
1139	16.514		
1140	16.502		
1141	16.493		
1142	16.494		
1143	16.478		
1144	16.480		
1145	16.466		
1146	16.467		
1147	16.454		
1148	16.451		
1149	16.447		
1150	16.435		
1151	16.437		
1152	16.425		
1153	16.424		
1154	16.412		
1155	16.412		
1156	16.406		
1157	16.397		
1158	16.401		
1159	16.386		
1160	16.390		
1161	16.379		
1162	16.385		
1163	16.376	92	
1164	16.374		
1165	16.375		
1166	16.365		
1167	16.371		
1168	16.363		
1169	16.365		
1170	16.357		
1171	16.360		
1172	16.358		
1173	16.351		
1174	16.357		
1175	16.347		
1176	16.352		
1177	16.343		
1178	16.346		
1179	16.340		
1180	16.341		
1181	16.342		
1182	16.334		
1183	16.337		
1184	16.331		
1185	16.336		
1186	16.329		
1187	16.330		
1188	16.325		
1189	16.320		
1190	16.325		
1191	16.316		
1192	16.320		
1193	16.313		
1194	16.316		
1195	16.309	93	
1196	16.308		
1197	16.308		
1198	16.299		
1199	16.306		
1200	16.295		
1201	16.297		
1202	16.289		
1203	16.294		
1204	16.290		
1205	16.281		
1206	16.287		
1207	16.278		
1208	16.286		
1209	16.276		
1210	16.280		
1211	16.275		
1212	16.275		
1213	16.280		
1214	16.269		
1215	16.276		
1216	16.270		
1217	16.271		
1218	16.265		
1219	16.271		
1220	16.270		
1221	16.262		
1222	16.269		
1223	16.259		
1224	16.264		
1225	16.257		
1226	16.264		
1227	16.257		
1228	16.256		
1229	16.260		
1230	16.248		
1231	16.256	94	
1232	16.250		
1233	16.253		
1234	16.245		
1235	16.245		
1236	16.247		
1237	16.237		
1238	16.245		
1239	16.238		
1240	16.238		
1241	16.231		
1242	16.236		
1243	16.231		
1244	16.228		
1245	16.230		
1246	16.220		
1247	16.227		
1248	16.220		
1249	16.222		
1250	16.216		
1251	16.220		
1252	16.222		
1253	16.215		
1254	16.228		
1255	16.225		
1256	16.238		
1257	16.244		
1258	16.262		
1259	16.273		
1260	16.291		
1261	16.318	95	
1262	16.334		
1263	16.367		
1264	16.391		
1265	16.429		
1266	16.457		
1267	16.496		
1268	16.536		
1269	16.566		
1270	16.613		
1271	16.645		
1272	16.693		
1273	16.728		
1274	16.771		
1275	16.809		
1276	16.844		
1277	16.886		
1278	16.914		
1279	16.955		
1280	16.984		
1281	17.019		
1282	17.045		
1283	17.076		
1284	17.106		
1285	17.122		
1286	17.157		
1287	17.169		
1288	17.194		
1289	17.207		
1290	17.226	96	
1291	17.242		
1292	17.251		
1293	17.272		
1294	17.272		
1295	17.292		
1296	17.290		
1297	17.299		
1298	17.299		
1299	17.300		
1300	17.308		
1301	17.299		
1302	17.306		
1303	17.297		
1304	17.300		
1305	17.293		
1306	17.293		
1307	17.287		
1308	17.275		
1309	17.277		
1310	17.263		
1311	17.257		
1312	17.244		
1313	17.237		
1314	17.223		
1315	17.210		
1316	17.202		
1317	17.182		
1318	17.174		
1319	17.154		
1320	17.145		
1321	17.121		
1322	17.111		
1323	17.095		
1324	17.077	97	
1325	17.071		
1326	17.050		
1327	17.045		
1328	17.026		
1329	17.017		
1330	17.002		
1331	16.991		
1332	16.990		
1333	16.973		
1334	16.972		
1335	16.961		
1336	16.961		
1337	16.949		
1338	16.949		
1339	16.949		
1340	16.938		
1341	16.948		
1342	16.936		
1343	16.942		
1344	16.937		
1345	16.939		
1346	16.936		
1347	16.933		
1348	16.940		
1349	16.927		
1350	16.939		
1351	16.927		
1352	16.935		
1353	16.925		
1354	16.925		
1355	16.923	98	
1356	16.915		
1357	16.922		
1358	16.908		
1359	16.909		
1360	16.902		
1361	16.903		
1362	16.894		
1363	16.886		
1364	16.888		
1365	16.876		
1366	16.878		
1367	16.864		
1368	16.865		
1369	16.854		
1370	16.847		
1371	16.847		
1372	16.831		
1373	16.832		
1374	16.819		
1375	16.819		
1376	16.808		
1377	16.802		
1378	16.794		
1379	16.783		
1380	16.781		
1381	16.766		
1382	16.766		
1383	16.752		
1384	16.746		
1385	16.735		
1386	16.728	99	
1387	16.724		
1388	16.709		
1389	16.707		
1390	16.693		
1391	16.690		
1392	16.675		
1393	16.669		
1394	16.661		
1395	16.649		
1396	16.651		
1397	16.632		
1398	16.629		
1399	16.618		
1400	16.611		
1401	16.603		
1402	16.595		
1403	16.593		
1404	16.575		
1405	16.578		
1406	16.565		
1407	16.562		
1408	16.549		
1409	16.546		
1410	16.542	100	
1411	16.527		
1412	16.528		
1413	16.517		
1414	16.516		
1415	16.504		
1416	16.502		
1417	16.492		
1418	16.485		
1419	16.485		
1420	16.473		
1421	16.473		
1422	16.465		
1423	16.464		
1424	16.454		
1425	16.450		
1426	16.447		
1427	16.432		
1428	16.436		
1429	16.424		
1430	16.427		
1431	16.416		
1432	16.416		
1433	16.408		
1434	16.402		
1435	16.406		
1436	16.393		
1437	16.395		
1438	16.387		
1439	16.387		
1440	16.380		
1441	16.377		
1442	16.376	101	
1443	16.366		
1444	16.371		
1445	16.359		
1446	16.360		
1447	16.353		
1448	16.352		
1449	16.349		
1450	16.342		
1451	16.344		
1452	16.334		
1453	16.339		
1454	16.330		
1455	16.333		
1456	16.322		
1457	16.323		
1458	16.322		
1459	16.310		
1460	16.315		
1461	16.307		
1462	16.308		
1463	16.302		
1464	16.303		
1465	16.299		
1466	16.293		
1467	16.299		
1468	16.286		
1469	16.289		
1470	16.284		
1471	16.285		
1472	16.278		
1473	16.278		
1474	16.280		
1475	16.268		
1476	16.276		
1477	16.265		
1478	16.269		
1479	16.261		
1480	16.262		
1481	16.260	102	
1482	16.253		
1483	16.258		
1484	16.249		
1485	16.254		
1486	16.245		
1487	16.249		
1488	16.242		
1489	16.240		
1490	16.243		
1491	16.235		
1492	16.238		
1493	16.230		
1494	16.234		
1495	16.226		
1496	16.227		
1497	16.225		
1498	16.220		
1499	16.226		
1500	16.217		
1501	16.220		
1502	16.213		
1503	16.217		
1504	16.214		
1505	16.212		
1506	16.222		
1507	16.215		
1508	16.225		
1509	16.222		
1510	16.231		
1511	16.232		
1512	16.243		
1513	16.253	103	
1514	16.255		
1515	16.275		
1516	16.281		
1517	16.298		
1518	16.308		
1519	16.325		
1520	16.341		
1521	16.355		
1522	16.380		
1523	16.391		
1524	16.417		
1525	16.430		
1526	16.453		
1527	16.466		
1528	16.486		
1529	16.506		
1530	16.517		
1531	16.539		
1532	16.548		
1533	16.570		
1534	16.578		
1535	16.593		
1536	16.605		
1537	16.612		
1538	16.632		
1539	16.631		
1540	16.647		
1541	16.650		
1542	16.663		
1543	16.666		
1544	16.671		
1545	16.681		
1546	16.679		
1547	16.694		
1548	16.688		
1549	16.696		
1550	16.695		
1551	16.699		
1552	16.700		
1553	16.694		
1554	16.704		
1555	16.695	104	
1556	16.699		
1557	16.689		
1558	16.691		
1559	16.689		
1560	16.682		
1561	16.685		
1562	16.673		
1563	16.676		
1564	16.664		
1565	16.662		
1566	16.655		
1567	16.654		
1568	16.646		
1569	16.634		
1570	16.637		
1571	16.622		
1572	16.624		
1573	16.610		
1574	16.606		
1575	16.600		
1576	16.590		
1577	16.593		
1578	16.574		
1579	16.576	105	
1580	16.562		
1581	16.563		
1582	16.550		
1583	16.547		
1584	16.540		
1585	16.529		
1586	16.531		
1587	16.516		
1588	16.516		
1589	16.505		
1590	16.504		
1591	16.497		
1592	16.488		
1593	16.488		
1594	16.473		
1595	16.474		
1596	16.463		
1597	16.463		
1598	16.451		
1599	16.447		
1600	16.443		
1601	16.434		
1602	16.436		
1603	16.424		
1604	16.422		
1605	16.414		
1606	16.412		
1607	16.406		
1608	16.397		
1609	16.401		
1610	16.386		
1611	16.389		
1612	16.379		
1613	16.377		
1614	16.370		
1615	16.368		
1616	16.366	106	
1617	16.356		
1618	16.360		
1619	16.346		
1620	16.349		
1621	16.340		
1622	16.339		
1623	16.333		
1624	16.328		
1625	16.331		
1626	16.319		
1627	16.320		
1628	16.313		
1629	16.314		
1630	16.307		
1631	16.304		
1632	16.302		
1633	16.291		
1634	16.297		
1635	16.288		
1636	16.290		
1637	16.279		
1638	16.282		
1639	16.279		
1640	16.269		
1641	16.274		
1642	16.262		
1643	16.266		
1644	16.262		
1645	16.262		
1646	16.254		
1647	16.252		
1648	16.255		
1649	16.243	107	
1650	16.246		
1651	16.240		
1652	16.244		
1653	16.237		
1654	16.238		
1655	16.236		
1656	16.229		
1657	16.234		
1658	16.225		
1659	16.230		
1660	16.222		
1661	16.227		
1662	16.222		
1663	16.223		
1664	16.229		
1665	16.221		
1666	16.235		
1667	16.233		
1668	16.242		
1669	16.244		
1670	16.255		
1671	16.267		
1672	16.273		
1673	16.292		
1674	16.301		
1675	16.320		
1676	16.330		
1677	16.354		
1678	16.368		
1679	16.387		
1680	16.411		
1681	16.423		
1682	16.452		
1683	16.466		
1684	16.490		
1685	16.506		
1686	16.529		
1687	16.549		
1688	16.562		
1689	16.584		
1690	16.593	108	
1691	16.616		
1692	16.628		
1693	16.647		
1694	16.657		
1695	16.669		
1696	16.686		
1697	16.690		
1698	16.709		
1699	16.711		
1700	16.724		
1701	16.725		
1702	16.733		
1703	16.742		
1704	16.739		
1705	16.752		
1706	16.748		
1707	16.758		
1708	16.752		
1709	16.759		
1710	16.759		
1711	16.752		
1712	16.762		
1713	16.752		
1714	16.758		
1715	16.750		
1716	16.756	109	
1717	16.750		
1718	16.749		
1719	16.749		
1720	16.737		
1721	16.743		
1722	16.732		
1723	16.734		
1724	16.724		
1725	16.724		
1726	16.723		
1727	16.712		
1728	16.713		
1729	16.701		
1730	16.702		
1731	16.694		
1732	16.692		
1733	16.681		
1734	16.675		
1735	16.676		
1736	16.659		
1737	16.661		
1738	16.646		
1739	16.647	110	
1740	16.636		
1741	16.633		
1742	16.625		
1743	16.612		
1744	16.614		
1745	16.599		
1746	16.598		
1747	16.585		
1748	16.583		
1749	16.575		
1750	16.567		
1751	16.564		
1752	16.549		
1753	16.550		
1754	16.537		
1755	16.537		
1756	16.529		
1757	16.524		
1758	16.519		
1759	16.507		
1760	16.511		
1761	16.498		
1762	16.497		
1763	16.487		
1764	16.491		
1765	16.483		
1766	16.479		
1767	16.480		
1768	16.469		
1769	16.475		
1770	16.467		
1771	16.472		
1772	16.466		
1773	16.466		
1774	16.470		
1775	16.462		
1776	16.472		
1777	16.466		
1778	16.475		
1779	16.473		
1780	16.481		
1781	16.483		
1782	16.485		
1783	16.497		
1784	16.496		
1785	16.510	111	
1786	16.512		
1787	16.527		
1788	16.529		
1789	16.540		
1790	16.553		
1791	16.556		
1792	16.574		
1793	16.576		
1794	16.595		
1795	16.603		
1796	16.619		
1797	16.631		
1798	16.643		
1799	16.666		
1800	16.674		
1801	16.698		
1802	16.707		
1803	16.730		
1804	16.745		
1805	16.762		
1806	16.786		
1807	16.795		
1808	16.823		
1809	16.832		
1810	16.857		
1811	16.866		
1812	16.890		
1813	16.904		
1814	16.912		
1815	16.938		
1816	16.939		
